model,variant,file_gb,ppl,ppl_stderr,seconds
Qwen3-4B,Q4_K_M,2.4G,14.8861,0.13895,66
Qwen3-4B,BF16,7.9G,14.3281,0.13256,60
Qwen3-4B,Q8_0,4.0G,14.3763,0.13319,68
Qwen3-4B,Q6_K,3.1G,14.3834,0.13310,75
Qwen3-4B,Q5_K_M,2.7G,14.4268,0.13338,73
Qwen3-4B,IQ4_XS,2.2G,15.5269,0.14799,69
Qwen3-4B,IQ3_M,1.9G,14.8790,0.13371,70
Qwen3-4B,Q2_K,1.6G,18.6144,0.17143,81
Qwen3-8B,BF16,20G,10.1074,0.08181,63
Qwen3-8B,Q8_0,8.2G,10.1379,0.08217,77
Qwen3-8B,Q6_K,6.3G,10.1280,0.08185,87
Qwen3-8B,Q5_K_M,5.5G,10.1922,0.08242,83
Qwen3-8B,Q4_K_M,4.7G,10.1840,0.08199,81
Qwen3-8B,IQ4_XS,4.3G,10.3300,0.08398,76
Qwen3-8B,IQ3_M,3.7G,10.4721,0.08157,83
Qwen3-8B,Q2_K,3.1G,11.4817,0.09173,110
Qwen3-14B,BF16,28G,9.0118,0.07113,75
Qwen3-14B,Q8_0,15G,9.0295,0.07138,101
Qwen3-14B,Q6_K,12G,9.0426,0.07148,118
Qwen3-14B,Q5_K_M,9.8G,9.0320,0.07124,110
Qwen3-14B,Q4_K_M,8.4G,9.1929,0.07302,107
Qwen3-14B,IQ4_XS,7.6G,9.0977,0.07165,98
Qwen3-14B,IQ3_M,6.5G,9.3177,0.07306,107
Qwen3-14B,Q2_K,5.4G,10.4003,0.08135,137
Qwen3-30B-A3B,BF16,58G,9.0661,0.07218,121
Qwen3-30B-A3B,Q8_0,31G,9.0697,0.07223,87
Qwen3-30B-A3B,Q6_K,24G,9.0814,0.07232,95
Qwen3-30B-A3B,Q5_K_M,21G,9.1801,0.07366,90
Qwen3-30B-A3B,Q4_K_M,18G,9.2755,0.07452,90
Qwen3-30B-A3B,IQ4_XS,16G,9.1857,0.07329,85
Qwen3-30B-A3B,IQ3_M,13G,8.9593,0.06828,88
Qwen3-30B-A3B,Q2_K,11G,10.2644,0.08278,98
Qwen3-32B,BF16,62G,7.8980,0.05618,102
Qwen3-32B,Q8_0,33G,7.9018,0.05620,164
Qwen3-32B,Q6_K,26G,7.8933,0.05606,200
Qwen3-32B,Q5_K_M,22G,7.9310,0.05649,180
Qwen3-32B,Q4_K_M,19G,7.9574,0.05656,176
Qwen3-32B,IQ4_XS,17G,7.9857,0.05692,154
Qwen3-32B,IQ3_M,14G,8.2976,0.05871,175
Qwen3-32B,Q2_K,12G,17.9497,0.13800,230
Kimi-VL-A3B-Thinking-2506,BF16,34G,11.6267,0.08943,91
Kimi-VL-A3B-Thinking-2506,Q8_0,16G,11.6355,0.08949,75
Kimi-VL-A3B-Thinking-2506,Q6_K,14G,11.7036,0.09035,79
Kimi-VL-A3B-Thinking-2506,Q5_K_M,12G,11.7508,0.09077,77
Kimi-VL-A3B-Thinking-2506,Q4_K_M,9.9G,12.2895,0.09472,76
Kimi-VL-A3B-Thinking-2506,IQ4_XS,8.2G,11.9273,0.09092,72
Kimi-VL-A3B-Thinking-2506,IQ3_M,7.2G,12.9856,0.09892,76
Kimi-VL-A3B-Thinking-2506,Q2_K,6.2G,41.7581,0.35208,83
